Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LN0077,Female,Yes,3+,Graduate,Yes,6156,6109.08,216,360,1.0,Urban,Y
LN0078,Male,No,0,Graduate,No,19209,3782.07,274,180,1.0,Urban,Y
LN0079,Female,No,3+,Not Graduate,No,5633,7938.96,626,240,0.0,Rural,Y
LN0080,Male,No,3+,Graduate,Yes,20753,8744.15,630,120,1.0,Urban,Y
LN0081,Female,Yes,0,Graduate,No,2742,8510.04,58,120,1.0,Rural,Y
LN0082,Male,No,2,Graduate,No,10039,7772.04,285,180,1.0,Semiurban,Y
LN0083,Female,No,0,Graduate,No,3331,2690.52,77,180,1.0,Urban,Y
LN0084,Male,Yes,3+,Not Graduate,No,19453,8118.9,695,180,1.0,Urban,Y
LN0085,Male,No,2,Not Graduate,Yes,8746,5334.78,76,180,0.0,Semiurban,N
LN0086,Female,No,1,Graduate,Yes,19802,527.57,599,120,1.0,Urban,Y
LN0087,Male,No,2,Not Graduate,Yes,24300,4569.39,245,240,0.0,Semiurban,Y
LN0088,Female,No,3+,Not Graduate,Yes,4732,9421.58,252,120,1.0,Semiurban,Y
LN0089,Female,Yes,2,Graduate,Yes,5258,8878.59,134,180,1.0,Urban,Y
LN0090,Female,No,0,Not Graduate,Yes,7497,1022.64,79,360,0.0,Semiurban,Y
LN0091,Female,No,1,Graduate,No,20239,7441.27,515,120,0.0,Semiurban,Y
LN0092,Female,Yes,1,Not Graduate,Yes,12472,8057.93,148,360,0.0,Semiurban,Y
LN0093,Female,No,1,Not Graduate,No,16868,2713.88,239,360,1.0,Urban,Y
LN0094,Female,Yes,3+,Not Graduate,No,3324,4716.09,61,180,1.0,Semiurban,Y
LN0095,Female,No,3+,Graduate,No,12183,7109.88,652,120,1.0,Rural,N
LN0096,Female,Yes,1,Not Graduate,Yes,5560,4390.41,79,240,1.0,Rural,Y
LN0097,Female,Yes,2,Graduate,No,23208,1127.97,87,120,1.0,Semiurban,Y
LN0098,Female,Yes,1,Graduate,Yes,1904,7058.82,621,240,0.0,Rural,Y
LN0099,Male,Yes,2,Not Graduate,No,19605,9116.39,343,240,1.0,Urban,Y
LN0100,Male,No,2,Graduate,No,23200,6524.85,409,180,0.0,Semiurban,Y
LN0101,Female,Yes,3+,Not Graduate,Yes,12517,7738.01,229,240,1.0,Urban,Y
LN0102,Female,No,2,Graduate,No,5345,3583.63,161,120,1.0,Rural,Y
LN0103,Female,Yes,1,Graduate,No,22094,1831.98,493,120,1.0,Rural,Y
LN0104,Female,Yes,3+,Not Graduate,No,12884,6427.74,70,360,1.0,Rural,Y
LN0105,Female,Yes,0,Not Graduate,No,17948,3277.71,194,240,0.0,Rural,Y
LN0106,Female,No,0,Not Graduate,Yes,10991,8600.74,548,180,1.0,Urban,Y
LN0107,Female,Yes,3+,Not Graduate,No,14612,1226.28,195,180,1.0,Semiurban,Y
LN0108,Female,No,1,Graduate,No,24266,4334.64,490,120,1.0,Urban,Y
LN0109,Male,No,0,Graduate,Yes,13285,3967.28,470,240,1.0,Semiurban,Y
LN0110,Female,No,0,Graduate,No,2468,9380.54,365,180,0.0,Rural,Y
LN0111,Male,No,2,Not Graduate,No,1868,1531.35,215,240,1.0,Rural,Y
LN0112,Female,No,2,Graduate,No,9924,98.47,252,240,1.0,Rural,Y
LN0113,Female,No,1,Not Graduate,No,3742,2380.85,545,360,0.0,Rural,N
LN0114,Male,No,3+,Graduate,Yes,22886,8202.77,674,180,1.0,Urban,Y
LN0115,Female,No,1,Not Graduate,No,4583,2093.22,517,360,0.0,Semiurban,Y
LN0116,Male,No,3+,Graduate,Yes,14822,2408.78,434,180,1.0,Semiurban,Y
LN0117,Female,Yes,0,Graduate,No,2969,1298.99,363,240,1.0,Rural,Y
LN0118,Female,Yes,2,Not Graduate,No,6225,7154.36,304,180,0.0,Urban,Y
LN0119,Male,Yes,1,Graduate,No,5759,691.74,72,120,0.0,Rural,Y
LN0120,Female,Yes,1,Not Graduate,Yes,5122,3312.08,388,240,1.0,Semiurban,Y
LN0121,Male,Yes,3+,Graduate,No,11792,2824.99,542,180,1.0,Semiurban,N
LN0122,Female,No,3+,Graduate,No,18707,5551.6,560,360,0.0,Urban,Y
LN0123,Male,No,1,Not Graduate,Yes,4931,7304.16,415,360,1.0,Semiurban,N
LN0124,Male,No,3+,Not Graduate,Yes,24412,5328.76,421,240,1.0,Urban,Y
LN0125,Female,No,1,Graduate,Yes,5651,9310.26,648,360,1.0,Rural,Y
LN0126,Female,No,1,Graduate,Yes,5713,9514.43,268,240,1.0,Rural,Y
LN0127,Male,No,1,Graduate,No,16735,3614.65,524,240,1.0,Urban,Y
LN0128,Female,No,0,Graduate,No,10489,7776.8,472,240,0.0,Rural,Y
LN0129,Female,Yes,3+,Graduate,No,2279,7388.01,405,180,1.0,Urban,Y
LN0130,Female,Yes,2,Graduate,No,16851,8929.65,509,240,0.0,Rural,Y
LN0131,Male,Yes,2,Not Graduate,Yes,12542,4479.44,552,360,1.0,Rural,Y
LN0132,Male,Yes,3+,Not Graduate,No,20776,5304.73,76,120,1.0,Semiurban,Y
LN0133,Male,No,1,Not Graduate,No,7034,4157.74,272,180,1.0,Semiurban,Y
LN0134,Male,No,2,Graduate,No,4806,8503.77,197,360,1.0,Urban,N
LN0135,Male,No,2,Graduate,No,4402,2297.02,473,240,1.0,Rural,Y
LN0136,Male,Yes,3+,Graduate,Yes,14891,2397.09,400,240,1.0,Rural,N
LN0137,Male,No,2,Not Graduate,No,5218,3726.05,235,120,1.0,Rural,Y
LN0138,Male,No,1,Not Graduate,No,1521,2303.43,464,360,1.0,Semiurban,Y
LN0139,Male,No,3+,Graduate,No,3000,5610.07,478,180,1.0,Urban,Y
LN0140,Female,Yes,1,Graduate,Yes,10534,1344.9,90,360,0.0,Urban,Y
LN0141,Male,No,2,Not Graduate,Yes,17299,3201.86,442,240,0.0,Urban,N
LN0142,Female,Yes,2,Not Graduate,No,5141,9134.45,128,180,1.0,Rural,Y
LN0143,Female,Yes,1,Not Graduate,No,23096,4092.25,593,240,1.0,Urban,N
LN0144,Female,Yes,0,Graduate,No,1691,7482.34,499,240,1.0,Semiurban,N
LN0145,Male,Yes,2,Graduate,Yes,14806,1134.62,523,360,0.0,Semiurban,Y
LN0146,Male,No,0,Graduate,No,14914,2475.65,191,120,1.0,Urban,Y
LN0147,Male,Yes,2,Not Graduate,No,10087,8073.46,300,240,1.0,Rural,Y
LN0148,Male,Yes,0,Not Graduate,No,22998,7629.93,343,360,0.0,Semiurban,Y
LN0149,Female,No,0,Graduate,Yes,6162,3861.56,659,180,0.0,Semiurban,Y
LN0150,Male,No,0,Graduate,No,5826,9543.97,185,120,1.0,Rural,Y
LN0151,Male,Yes,1,Not Graduate,No,10565,9106.43,533,240,1.0,Rural,Y
LN0152,Male,No,0,Graduate,Yes,22219,9623.01,361,240,1.0,Urban,Y
LN0153,Male,Yes,0,Not Graduate,Yes,11971,4279.15,604,180,1.0,Semiurban,Y
LN0154,Male,Yes,0,Not Graduate,No,14141,1974.74,681,360,1.0,Semiurban,N
LN0155,Female,Yes,2,Graduate,Yes,10696,6266.59,95,240,1.0,Urban,Y
LN0156,Male,Yes,0,Not Graduate,No,14226,6847.73,285,180,1.0,Urban,Y
LN0157,Female,No,2,Graduate,Yes,23378,1254.42,97,240,1.0,Semiurban,Y
LN0158,Male,Yes,0,Not Graduate,Yes,17151,7864.83,247,360,1.0,Semiurban,N
LN0159,Female,No,0,Not Graduate,No,10036,180.6,133,120,0.0,Rural,Y
LN0160,Male,No,1,Graduate,No,20595,4827.28,592,360,1.0,Rural,N
LN0161,Male,No,2,Not Graduate,No,14444,3310.16,210,360,0.0,Semiurban,N
LN0162,Female,No,0,Graduate,Yes,7773,7403.03,477,360,0.0,Semiurban,N
LN0163,Female,Yes,2,Graduate,No,7784,3127.61,120,180,1.0,Rural,Y
LN0164,Female,No,2,Not Graduate,No,10317,8268.07,569,240,1.0,Urban,Y
LN0165,Male,Yes,3+,Graduate,No,21878,5949.53,101,120,1.0,Urban,N
LN0166,Female,No,1,Graduate,No,19562,7938.93,94,180,1.0,Semiurban,N
LN0167,Male,No,1,Graduate,No,9914,9893.41,342,360,0.0,Semiurban,N
LN0168,Male,Yes,1,Graduate,Yes,18627,6791.58,514,120,1.0,Rural,Y
LN0169,Female,Yes,3+,Graduate,No,18346,9849.5,599,360,1.0,Semiurban,Y
LN0170,Female,Yes,3+,Graduate,No,19452,288.36,429,360,1.0,Urban,Y
LN0171,Male,No,1,Not Graduate,Yes,13039,3381.4,527,360,1.0,Rural,N
LN0172,Male,No,3+,Graduate,No,15493,1078.53,311,120,1.0,Rural,Y
LN0173,Female,Yes,3+,Not Graduate,No,14951,2623.05,629,240,1.0,Urban,Y
LN0174,Female,Yes,3+,Not Graduate,No,16192,8388.88,228,360,1.0,Urban,Y
LN0175,Female,Yes,1,Graduate,No,19620,323.23,406,240,1.0,Rural,Y
LN0176,Male,Yes,1,Not Graduate,No,14834,5201.83,468,120,0.0,Semiurban,Y
LN0177,Male,No,1,Not Graduate,Yes,9403,5671.29,250,120,1.0,Urban,Y
LN0178,Male,Yes,3+,Graduate,Yes,17129,5611.51,62,360,1.0,Rural,Y
LN0179,Male,Yes,1,Graduate,Yes,24886,4752.97,492,240,1.0,Semiurban,Y
LN0180,Male,Yes,3+,Graduate,No,19240,7906.03,335,240,1.0,Semiurban,Y
LN0181,Male,Yes,0,Not Graduate,Yes,2514,1335.43,307,360,1.0,Rural,N
LN0182,Female,No,3+,Not Graduate,No,12360,3105.77,619,180,1.0,Urban,Y
LN0183,Male,Yes,2,Graduate,No,18938,6157.26,597,180,1.0,Semiurban,Y
LN0184,Male,No,1,Graduate,No,3264,6909.51,539,120,1.0,Urban,N
LN0185,Male,Yes,1,Not Graduate,Yes,7509,4041.48,547,120,1.0,Rural,Y
LN0186,Female,Yes,2,Not Graduate,Yes,22342,8753.71,382,180,1.0,Urban,N
LN0187,Male,No,3+,Not Graduate,Yes,11104,4154.93,611,180,1.0,Semiurban,N
LN0188,Male,Yes,0,Not Graduate,No,17512,4027.76,81,180,1.0,Rural,Y
LN0189,Female,No,2,Graduate,Yes,2167,362.07,659,360,1.0,Semiurban,Y
LN0190,Male,No,2,Not Graduate,No,4870,5511.41,92,360,1.0,Semiurban,Y
LN0191,Male,Yes,3+,Not Graduate,Yes,7476,7086.81,400,360,1.0,Rural,N
LN0192,Male,No,1,Not Graduate,Yes,19278,1144.38,383,360,1.0,Rural,Y
LN0193,Male,No,3+,Not Graduate,No,21954,3054.33,608,360,0.0,Urban,Y
LN0194,Male,No,2,Graduate,No,24866,7812.57,319,360,1.0,Rural,N
LN0195,Female,No,2,Graduate,Yes,10113,3659.19,462,120,1.0,Urban,N
LN0196,Female,No,1,Not Graduate,Yes,7099,2416.02,624,240,1.0,Rural,Y
LN0197,Female,No,1,Not Graduate,Yes,5150,6722.01,68,120,1.0,Semiurban,Y
LN0198,Male,No,1,Graduate,No,13849,1967.59,396,240,1.0,Urban,Y
LN0199,Male,No,3+,Graduate,No,11394,8956.53,662,120,1.0,Rural,Y
LN0200,Male,Yes,1,Not Graduate,Yes,21504,1055.98,86,120,1.0,Urban,N
LN0201,Female,Yes,2,Not Graduate,Yes,4690,7065.5,668,360,1.0,Urban,Y
LN0202,Male,No,2,Graduate,No,16845,4995.49,141,360,1.0,Urban,Y
LN0203,Male,Yes,0,Graduate,Yes,10289,8699.3,234,240,1.0,Semiurban,N
LN0204,Female,No,3+,Graduate,No,1891,1261.95,77,240,1.0,Rural,Y
LN0205,Male,No,0,Graduate,No,18959,6778.95,597,360,1.0,Rural,N
LN0206,Female,Yes,2,Graduate,No,4150,5720.55,421,120,1.0,Urban,Y
LN0207,Female,No,0,Graduate,No,15100,4800.9,579,240,1.0,Rural,N
LN0208,Female,No,2,Not Graduate,No,15817,4914.07,394,180,1.0,Semiurban,N
LN0209,Male,No,0,Graduate,No,20268,7219.77,468,180,1.0,Urban,Y
LN0210,Male,No,1,Graduate,Yes,18693,9377.42,245,180,1.0,Semiurban,N
LN0211,Male,Yes,0,Graduate,No,17063,912.52,127,240,1.0,Semiurban,N
LN0212,Male,No,1,Graduate,No,23385,195.03,216,360,1.0,Rural,N
LN0213,Male,No,1,Not Graduate,Yes,8395,8057.05,139,360,1.0,Rural,Y
LN0214,Male,No,3+,Not Graduate,No,19043,1081.69,313,360,1.0,Urban,Y
LN0215,Male,Yes,1,Graduate,Yes,3031,9866.97,521,240,1.0,Semiurban,Y
LN0216,Female,No,1,Not Graduate,No,6981,6193.48,257,240,1.0,Rural,Y
LN0217,Male,Yes,0,Not Graduate,Yes,22860,6508.66,320,180,1.0,Urban,Y
LN0218,Female,Yes,2,Not Graduate,Yes,23579,1988.92,312,240,0.0,Urban,Y
LN0219,Male,No,3+,Not Graduate,No,12374,2403.12,555,180,1.0,Rural,Y
LN0220,Male,No,1,Not Graduate,No,21432,6593.5,561,180,1.0,Semiurban,Y
LN0221,Male,Yes,3+,Not Graduate,No,7663,9097.27,625,360,1.0,Urban,N
LN0222,Female,No,0,Graduate,No,24555,9823.91,573,240,1.0,Rural,N
LN0223,Female,Yes,1,Graduate,Yes,6764,1980.31,361,360,1.0,Urban,Y
LN0224,Female,Yes,0,Graduate,Yes,19115,1341.2,223,360,1.0,Rural,Y
LN0225,Female,No,3+,Graduate,Yes,17390,564.01,480,240,0.0,Urban,N
LN0226,Male,No,0,Graduate,No,20307,8682.97,512,240,1.0,Semiurban,Y
LN0227,Female,Yes,3+,Not Graduate,Yes,13267,2947.15,150,120,1.0,Urban,Y
LN0228,Male,Yes,0,Graduate,No,9571,18.12,65,180,1.0,Rural,N
LN0229,Male,Yes,3+,Graduate,No,22145,2238.18,307,120,1.0,Rural,Y
LN0230,Female,Yes,2,Not Graduate,Yes,17040,3404.41,293,180,1.0,Rural,N
LN0231,Female,No,0,Not Graduate,No,4408,9909.86,397,180,1.0,Semiurban,N
LN0232,Female,No,0,Graduate,Yes,6212,5235.42,298,180,1.0,Rural,Y
LN0233,Female,No,2,Not Graduate,No,24639,2047.14,154,360,1.0,Rural,N
LN0234,Female,No,2,Not Graduate,Yes,13690,3348.18,336,360,0.0,Semiurban,Y
LN0235,Female,No,0,Not Graduate,No,21767,3303.08,218,240,1.0,Rural,N
LN0236,Female,Yes,2,Not Graduate,Yes,21399,197.26,469,180,1.0,Rural,N
LN0237,Female,No,1,Graduate,Yes,21287,1351.83,96,180,1.0,Semiurban,Y
LN0238,Male,No,3+,Not Graduate,No,22482,6951.96,92,180,0.0,Urban,Y
LN0239,Female,No,3+,Graduate,No,22892,1202.51,370,360,1.0,Rural,Y
LN0240,Female,No,3+,Graduate,Yes,24106,2307.34,270,240,1.0,Urban,Y
LN0241,Male,No,1,Not Graduate,No,11650,3507.37,562,360,0.0,Semiurban,N
LN0242,Female,Yes,2,Not Graduate,No,21893,7577.35,490,120,1.0,Rural,Y
LN0243,Male,Yes,2,Not Graduate,No,20619,5824.01,193,120,1.0,Rural,Y
LN0244,Male,Yes,0,Graduate,Yes,5991,6890.0,77,120,1.0,Semiurban,Y
LN0245,Female,No,2,Not Graduate,Yes,15419,5670.12,602,240,1.0,Rural,Y
LN0246,Male,Yes,0,Not Graduate,No,15668,6835.92,216,120,0.0,Urban,N
LN0247,Male,Yes,1,Not Graduate,No,10093,28.42,684,240,1.0,Urban,Y
LN0248,Male,No,3+,Not Graduate,Yes,18858,9308.98,635,360,1.0,Semiurban,N
LN0249,Male,No,3+,Not Graduate,No,18107,1109.2,298,360,0.0,Rural,Y
LN0250,Female,No,3+,Graduate,Yes,6113,4062.49,406,240,1.0,Rural,Y
LN0251,Male,Yes,2,Not Graduate,No,24661,7710.38,160,360,1.0,Semiurban,Y
LN0252,Female,Yes,0,Not Graduate,No,22095,4352.31,283,360,1.0,Urban,Y
LN0253,Male,No,0,Not Graduate,No,12926,9468.43,73,240,1.0,Urban,Y
LN0254,Male,No,1,Graduate,Yes,18109,4675.89,75,120,1.0,Semiurban,Y
LN0255,Male,Yes,2,Not Graduate,Yes,9683,8749.39,430,240,0.0,Rural,N
LN0256,Male,Yes,1,Graduate,Yes,22161,8108.28,395,180,1.0,Urban,N
LN0257,Female,No,0,Graduate,Yes,19225,9809.86,427,360,1.0,Rural,Y
LN0258,Female,No,0,Not Graduate,No,21920,9265.48,571,240,1.0,Urban,Y
LN0259,Male,Yes,3+,Not Graduate,No,9901,8981.24,66,360,1.0,Rural,Y
LN0260,Male,No,2,Not Graduate,Yes,5227,7316.04,294,120,1.0,Urban,N
LN0261,Female,Yes,0,Graduate,No,15203,3669.98,673,360,1.0,Rural,Y
LN0262,Male,Yes,3+,Graduate,No,21812,1061.25,588,240,0.0,Semiurban,Y
LN0263,Male,Yes,2,Graduate,Yes,20687,6886.45,632,120,1.0,Urban,Y
LN0264,Male,Yes,1,Graduate,No,24442,9786.54,251,120,1.0,Semiurban,Y
LN0265,Female,No,2,Graduate,No,11718,7266.04,297,120,1.0,Urban,Y
LN0266,Female,No,2,Graduate,Yes,1893,9287.29,167,180,1.0,Urban,Y
LN0267,Female,Yes,0,Not Graduate,No,24723,8043.05,58,240,1.0,Urban,Y
LN0268,Male,Yes,0,Not Graduate,No,17492,1631.15,647,240,1.0,Rural,Y
LN0269,Male,Yes,2,Graduate,No,10535,2492.04,72,120,1.0,Urban,N
LN0270,Female,Yes,0,Not Graduate,Yes,11216,3418.66,289,360,0.0,Semiurban,Y
LN0271,Female,Yes,0,Not Graduate,Yes,10295,1682.6,634,120,1.0,Rural,Y
LN0272,Female,No,0,Graduate,No,2081,5816.51,76,180,1.0,Rural,N
LN0273,Female,No,3+,Graduate,No,15830,9754.51,130,120,1.0,Urban,Y
LN0274,Male,No,3+,Not Graduate,No,11631,7614.59,645,240,1.0,Rural,Y
LN0275,Female,No,2,Graduate,Yes,1632,4233.87,248,120,1.0,Urban,N
LN0276,Male,Yes,0,Graduate,Yes,20722,45.04,604,360,1.0,Semiurban,Y
LN0277,Female,Yes,3+,Not Graduate,Yes,16484,3132.76,141,240,1.0,Rural,Y
LN0278,Male,Yes,2,Graduate,No,4885,5267.59,133,360,1.0,Rural,N
LN0279,Female,Yes,0,Not Graduate,No,5270,3242.51,349,120,1.0,Semiurban,Y
LN0280,Female,Yes,1,Not Graduate,No,3768,1110.35,345,240,1.0,Semiurban,Y
LN0281,Female,No,0,Not Graduate,No,2475,4427.65,696,180,1.0,Urban,Y
LN0282,Female,Yes,0,Not Graduate,No,9105,2532.53,503,240,0.0,Rural,Y
LN0283,Male,No,3+,Not Graduate,Yes,8713,9092.32,330,360,1.0,Semiurban,N
LN0284,Female,No,2,Graduate,No,12955,1017.55,108,240,1.0,Rural,N
LN0285,Male,No,2,Graduate,No,4335,491.53,391,180,1.0,Semiurban,Y
LN0286,Male,No,3+,Graduate,No,4238,53.14,514,180,0.0,Rural,Y
LN0287,Male,Yes,0,Graduate,Yes,11049,3280.7,391,180,1.0,Semiurban,Y
LN0288,Male,No,1,Not Graduate,No,5634,6603.87,659,180,1.0,Rural,Y
LN0289,Female,No,0,Not Graduate,Yes,8333,7304.14,111,360,1.0,Urban,Y
LN0290,Male,No,0,Graduate,Yes,9853,4532.62,674,240,1.0,Rural,Y
LN0291,Male,Yes,1,Not Graduate,Yes,17190,6843.29,478,120,1.0,Urban,Y
LN0292,Male,Yes,3+,Graduate,Yes,3409,3599.14,305,180,1.0,Urban,Y
LN0293,Female,Yes,2,Graduate,Yes,15996,6678.06,396,120,1.0,Urban,N
LN0294,Female,No,3+,Graduate,No,13562,405.96,575,120,1.0,Rural,N
LN0295,Female,No,3+,Not Graduate,No,11350,3907.53,353,240,1.0,Rural,Y
LN0296,Female,Yes,0,Not Graduate,Yes,3463,7908.5,664,120,1.0,Urban,Y
LN0297,Male,No,2,Not Graduate,Yes,6653,8030.06,294,120,1.0,Semiurban,N
LN0298,Male,Yes,2,Not Graduate,Yes,11981,7161.49,461,360,1.0,Rural,N
LN0299,Female,Yes,3+,Graduate,No,2466,2042.39,266,120,0.0,Rural,Y
LN0300,Male,No,1,Not Graduate,No,2389,2472.05,565,240,1.0,Rural,Y
LN0301,Male,No,3+,Not Graduate,Yes,20945,9960.89,523,120,1.0,Rural,N
LN0302,Male,No,1,Not Graduate,No,7961,1033.78,85,240,1.0,Urban,Y
LN0303,Female,No,2,Graduate,No,7666,1806.63,227,180,1.0,Semiurban,Y
LN0304,Female,Yes,3+,Graduate,Yes,24851,1300.26,436,120,1.0,Semiurban,Y
